"ID,""Dir"",""Length"",""JERARQUIA"",""DESIGNACIÓN"",""AB_CAP_CARRIL"",""BA_CAP_CARRIL"",""AB_FACTOR_REGULACIÓN"",""BA_FACTOR_REGULACIÓN"",""AB_V0"",""BA_V0"",""AB_CARRILES"",""BA_CARRILES"",""AB_ALPHA"",""BA_ALPHA"",""AB_BETA"",""BA_BETA"",""AB_CAPACIDAD"",""BA_CAPACIDAD"",""AB_T0"",""BA_T0"",""ID"",""Dir"",""Length"",""JERARQUIA"",""DESIGNACIÓN"",""AB_CAP_CARRIL"",""BA_CAP_CARRIL"",""AB_FACTOR_REGULACIÓN"",""BA_FACTOR_REGULACIÓN"",""AB_V0"",""BA_V0"",""AB_CARRILES"",""BA_CARRILES"",""AB_ALPHA"",""BA_ALPHA"",""AB_BETA"",""BA_BETA"",""AB_CAPACIDAD"",""BA_CAPACIDAD"",""AB_T0"",""BA_T0"",""ID1"",""AB_Flow"",""BA_Flow"",""Tot_Flow"",""AB_Time"",""BA_Time"",""Max_Time"",""AB_VOC"",""BA_VOC"",""Max_VOC"",""AB_VKmT"",""BA_VKmT"",""Tot_VKmT"",""AB_VHT"",""BA_VHT"",""Tot_VHT"",""AB_Speed"",""BA_Speed"",""AB_VDF"",""BA_VDF"",""Max_VDF"""
"14,1,0.235826,10,""Calle Sol + Dª Maria Coronel"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.471653,,14,1,0.235826,10,""Calle Sol + Dª Maria Coronel"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.471653,,14,0.0000,,0.0000,0.471653,,0.471653,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.471653,,0.471653"
"15,0,0.0200575,10,""Calle Almirante Apodaca"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.0401149,0.0401149,15,0,0.0200575,10,""Calle Almirante Apodaca"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.0401149,0.0401149,15,702.6011,0.0000,702.6011,0.140288,0.0401149,0.140288,1.00372,0.0000,1.00372,14.0924,0.0000,14.0924,1.64277,0.0000,1.64277,8.57843,30.0000,0.140288,0.0401149,0.140288"
"17,1,0.218882,10,""Calle Jauregui"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.437764,,17,1,0.218882,10,""Calle Jauregui"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.437764,,17,282.8227,,282.8227,0.640063,,0.640063,0.404032,,0.404032,61.9049,,61.9049,3.01707,,3.01707,20.5182,,0.640063,,0.640063"
"18,-1,0.2198,10,""Calle Escuelas Pias"",0.00,1400.00,0.5,0.5,0.00,30,0.00,1,2.48003,2.48,1.854,1.854,0.00,700,,0.4396,18,-1,0.2198,10,""Calle Escuelas Pias"",0.00,1400.00,0.5,0.5,0.00,30,0.00,1,2.48003,2.48,1.854,1.854,0.00,700,,0.4396,18,,270.3281,270.3281,,0.626421,0.626421,,0.386183,0.386183,,59.4182,59.4182,,2.82232,2.82232,,21.0530,,0.626421,0.626421"
"19,0,0.0911365,10,""Calle Puñonrostro"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.182273,0.182273,19,0,0.0911365,10,""Calle Puñonrostro"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.182273,0.182273,19,282.8227,270.3281,553.1509,0.266505,0.259735,0.266505,0.404032,0.386183,0.404032,25.7755,24.6368,50.4122,1.25623,1.17023,2.42645,20.5182,21.0530,0.266505,0.259735,0.266505"
"20,1,0.790473,10,""Alameda de Hercules"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.58095,,20,1,0.790473,10,""Alameda de Hercules"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.58095,,20,1160.1029,,1160.1029,11.5841,,11.5841,1.65729,,1.65729,917.0301,,917.0301,223.9800,,223.9800,4.09425,,11.5841,,11.5841"
"21,1,0.343323,10,""Calle Feria + Castellar"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.686645,,21,1,0.343323,10,""Calle Feria + Castellar"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.686645,,21,331.0070,,331.0070,1.11142,,1.11142,0.472867,,0.472867,113.6422,,113.6422,6.13145,,6.13145,18.5343,,1.11142,,1.11142"
"22,1,0.288205,10,""Calle Conde de Torrejon"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.57641,,22,1,0.288205,10,""Calle Conde de Torrejon"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.57641,,22,0.0000,,0.0000,0.57641,,0.57641,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.57641,,0.57641"
"23,1,0.0528227,10,""Calle Miguel Cid + San Vicente"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.105645,,23,1,0.0528227,10,""Calle Miguel Cid + San Vicente"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.105645,,23,1160.1029,,1160.1029,0.774101,,0.774101,1.65729,,1.65729,61.2798,,61.2798,14.9673,,14.9673,4.09425,,0.774101,,0.774101"
"24,1,0.242743,10,""Plaza de la Gavidia"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.485485,,24,1,0.242743,10,""Plaza de la Gavidia"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.485485,,24,702.6011,,702.6011,1.69781,,1.69781,1.00372,,1.00372,170.5512,,170.5512,19.8814,,19.8814,8.57843,,1.69781,,1.69781"
"25,1,0.635759,10,""Calle Alfonso XII"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.27152,,25,1,0.635759,10,""Calle Alfonso XII"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.27152,,25,1139.3989,,1139.3989,9.05269,,9.05269,1.62771,,1.62771,724.3834,,724.3834,171.9104,,171.9104,4.21373,,9.05269,,9.05269"
"26,1,0.0535605,10,""Plaza de la Gavidia"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.107121,,26,1,0.0535605,10,""Plaza de la Gavidia"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.107121,,26,0.0000,,0.0000,0.107121,,0.107121,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.107121,,0.107121"
"27,1,0.729072,10,""Plaza de la Campana"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.45814,,27,1,0.729072,10,""Plaza de la Campana"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.45814,,27,702.6011,,702.6011,5.09934,,5.09934,1.00372,,1.00372,512.2469,,512.2469,59.7134,,59.7134,8.57843,,5.09934,,5.09934"
"28,1,0.26471,10,""Calle Miguel Cid + San Vicente"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.52942,,28,1,0.26471,10,""Calle Miguel Cid + San Vicente"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.52942,,28,2867.0000,,2867.0000,18.4568,,18.4568,4.09571,,4.09571,758.9234,,758.9234,881.9265,,881.9265,0.860529,,18.4568,,18.4568"
"29,1,0.339436,10,""Calle Baños"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.678872,,29,1,0.339436,10,""Calle Baños"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.678872,,29,2312.8971,,2312.8971,16.1164,,16.1164,3.30414,,3.30414,785.0804,,785.0804,621.2610,,621.2610,1.26369,,16.1164,,16.1164"
